Month;Y;Dummy
2011-01;3;0
2011-02;3;0
2011-03;4;0
2011-04;3;0
2011-05;2;0
2011-06;3;0
2011-07;8;0
2011-08;9;1
2011-09;5;0
2011-10;4;0
2011-11;3;0
2011-12;2;0
2012-01;4;0
2012-02;3;0
2012-03;3;0
2012-04;3;0
2012-05;3;0
2012-06;5;0
2012-07;11;0
2012-08;10;1
2012-09;3;0
2012-10;4;0
2012-11;3;0
2012-12;2;0
2013-01;3;0
2013-02;5;0
2013-03;4;0
2013-04;4;0
2013-05;3;0
2013-06;8;0
2013-07;16;0
2013-08;7;1
2013-09;5;0
2013-10;5;0
2013-11;5;0
2013-12;5;0
2014-01;5;0
2014-02;6;0
2014-03;6;0
2014-04;6;0
2014-05;7;0
2014-06;15;0
2014-07;20;1
2014-08;9;0
2014-09;9;0
2014-10;9;0
2014-11;11;0
2014-12;15;0
2015-01;17;0
2015-02;18;0
2015-03;24;0
2015-04;21;0
2015-05;28;0
2015-06;50;0
2015-07;33;1
2015-08;18;0
2015-09;11;0
2015-10;8;0
2015-11;8;0
2015-12;7;0
2016-01;6;0
2016-02;8;0
2016-03;7;0
2016-04;10;0
2016-05;20;0
2016-06;45;0
2016-07;11;1
2016-08;6;0
2016-09;7;0
2016-10;7;0
2016-11;7;0
2016-12;7;0
2017-01;7;0
2017-02;8;0
2017-03;8;0
2017-04;14;0
2017-05;35;0
2017-06;35;1
2017-07;9;0
2017-08;8;0
2017-09;8;0
2017-10;8;0
2017-11;7;0
2017-12;7;0
2018-01;9;0
2018-02;9;0
2018-03;10;0
2018-04;22;0
2018-05;46;0
2018-06;26;1
2018-07;9;0
2018-08;10;0
2018-09;10;0
2018-10;11;0
2018-11;10;0
2018-12;9;0
2019-01;9;0
2019-02;11;0
2019-03;15;0
2019-04;40;0
2019-05;89;0
2019-06;21;1
2019-07;13;0
2019-08;14;0
2019-09;14;0
2019-10;15;0
2019-11;15;0
2019-12;14;0
2020-01;13;0
2020-02;15;0
2020-03;23;0
2020-04;88;0
2020-05;90;1
2020-06;25;0
2020-07;18;0
2020-08;17;0
2020-09;16;0
2020-10;17;0
2020-11;13;0
2020-12;14;0
2021-01;15;0
2021-02;19;0
2021-03;38;0
2021-04;100;0
2021-05;50;1
2021-06;17;0
2021-07;16;0
2021-08;14;0
2021-09;13;0
2021-10;14;0
2021-11;13;0
2021-12;12;0
2022-01;15;0
2022-02;20;0
2022-03;45;0
2022-04;100;0
2022-05;25;1
2022-06;15;0
2022-07;15;0
2022-08;16;0
2022-09;16;0
2022-10;16;0
2022-11;15;0
2022-12;15;0
2023-01;17;0
2023-02;31;0
2023-03;80;0
2023-04;75;1
2023-05;24;0
2023-06;18;0
2023-07;14;0
2023-08;15;0
2023-09;16;0
2023-10;19;0
2023-11;19;0
2023-12;17;0
2024-01;16;0
2024-02;28;0
2024-03;78;0
2024-04;41;1
2024-05;44;0
2024-06;80;0
2024-07;56;0
2024-08;45;0
2024-09;38;0
2024-10;43;0
2024-11;35;0
2024-12;30;0
2025-01;32;0
2025-02;49;0
2025-03;95;1
2025-04;31;0
2025-05;24;0
2025-06;22;0